,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
58,71671116,sett24_1,58,8,3000,3000,0.6,0.7,7,10,0.45,0.15,600,0.3,1.0,1886.5,450.0,237.75,199.1852153147919,259.8076211353316,237.94156320407748,3,-0.036003692524842625,2,-0.16666666666666663
59,92301545,sett24_1,59,10,500,500,0.8,0.6,9,10,0.7,0.5,100,0.24,1.0,385.4,80.0,61.0,10.537551897855591,40.0,30.639843341636066,2,0.5325648414985593,2,-0.10000000000000002
60,64154494,sett24_1,60,6,4000,4000,0.7,0.85,5,9,0.6,0.75,800,0.44,1.0,2618.3333333333335,533.3333333333334,344.6666666666667,31.626290048347787,377.12361663282536,243.7284463405032,2,-0.12226912537954358,2,-0.3333333333333333
61,72453604,sett24_1,61,4,1500,750,0.6,0.3,2,0,0.3,0.65,300,0.44,0.5,384.3333333333333,100.0,7.333333333333333,193.36723840632592,141.4213562373095,10.370899457402697,2,-0.38278388278388287,2,-0.3333333333333333
62,61513021,sett24_1,62,4,1000,1000,0.15,0.65,1,2,0.45,0.95,200,0.1,1.0,14.666666666666666,0.0,0.0,11.115554667022044,0.0,0.0,2,-0.44124700239808146,0,0.0
63,10950389,sett24_1,63,6,2500,1250,0.05,0.05,5,8,0.2,0.3,500,0.02,0.5,0.0,333.3333333333333,0.0,0.0,235.70226039551585,0.0,0,0.0,2,-0.3333333333333333
64,6748552,sett24_1,64,4,500,250,0.25,0.8,3,6,0.2,0.2,100,0.44,0.5,27.0,66.66666666666667,12.0,5.0990195135927845,47.14045207910317,8.48528137423857,2,-0.4487179487179487,2,-0.3333333333333333
65,22178820,sett24_1,65,8,1000,1000,0.2,0.9,7,0,0.1,0.55,200,0.12,1.0,110.75,150.0,20.25,0.4330127018922193,86.60254037844386,11.691342951089922,2,-0.16666666666666663,2,-0.1666666666666666
66,92820187,sett24_1,66,10,3000,1500,0.8,0.55,9,0,0.8,0.6,600,0.26,0.5,1500.0,480.0,273.6,0.0,240.0,139.2947953083675,0,0.0,2,-0.09999999999999998
67,45907307,sett24_1,67,11,1500,750,0.95,0.9,10,5,0.4,0.75,300,0.26,0.5,750.0,250.0,178.33333333333334,0.0,111.80339887498948,80.59707742151006,0,0.0,2,-0.06666666666666668
68,79498062,sett24_1,68,18,4000,2000,0.6,0.2,6,10,0.95,0.95,800,0.44,0.5,1693.5555555555557,42.77777777777778,21.11111111111111,112.39623472450896,69.48505479242405,35.45088760664203,2,0.3379829335133236,2,0.08364258930636308
69,44796044,sett24_1,69,11,1500,750,0.3,0.45,6,1,0.7,0.85,300,0.28,0.5,23.833333333333332,266.1666666666667,9.0,8.82074574826616,306.14126187468133,10.181682899534175,2,0.05450434368677856,2,-0.04225606195280848
70,54658741,sett24_1,70,200,3000,3000,0.45,0.1,9,1,0.3,0.75,600,0.46,1.0,1328.76,1211.92,1207.97,1.3720058308913996,166.20702030901103,166.0615220332513,5,0.2836379090522739,11,0.8897661226805492
71,76758665,sett24_1,71,4,500,250,0.35,0.4,2,1,0.45,0.35,100,0.16,0.5,31.0,33.333333333333336,2.0,2.943920288775949,47.14045207910317,2.8284271247461903,2,-0.15384615384615385,2,-0.3333333333333335
72,56413383,sett24_1,72,11,2000,1000,0.1,0.65,10,6,0.1,0.8,400,0.08,0.5,9.0,333.3333333333333,2.5,0.0,149.07119849998597,1.118033988749895,0,0.0,2,-0.06666666666666662
73,72416377,sett24_1,73,11,2000,1000,0.8,0.4,6,3,0.35,0.65,400,0.18,0.5,951.3333333333334,671.5,324.0,50.34436965099032,802.7363099631991,388.9862893899133,2,0.45463445998275676,2,-0.0976851721930982
