,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
0,30318598,sett24_4,0,10,1500,1500,0.6,0.9,9,6,0.7,0.65,300,0.32,1.0,731.2,240.0,119.0,15.535765188750762,120.0,59.893238349583335,4,0.05190586675505408,2,-0.09999999999999998
1,3952889,sett24_4,1,9,500,250,0.05,0.15,8,5,0.05,0.5,100,0.22,0.5,0.0,80.0,0.0,0.0,40.0,0.0,0,0.0,2,-0.10000000000000002
2,83755520,sett24_4,2,9,1500,1500,0.35,0.85,8,8,0.4,0.9,300,0.28,1.0,222.8,240.0,34.8,5.946427498927402,120.0,17.451647486698786,4,-0.176244343891403,2,-0.09999999999999998
3,33398323,sett24_4,3,4,2500,2500,0.9,0.05,3,4,0.2,0.1,500,0.36,1.0,2290.0,333.3333333333333,165.33333333333334,250.11597310047992,235.70226039551585,233.81664231235172,2,-0.29530462397561724,2,-0.3333333333333333
4,78752536,sett24_4,4,14,500,500,0.45,0.05,9,5,0.55,0.65,100,0.3,1.0,135.42857142857142,161.14285714285714,55.0,4.499433070863891,152.7523004937158,49.62718149217365,3,0.21082949308755752,2,0.1465103813297248
5,87489910,sett24_4,5,9,1000,500,0.45,0.8,8,2,0.05,0.45,200,0.18,0.5,256.0,160.0,87.6,8.899438184514796,80.0,43.90261951182412,4,0.010101010101010053,2,-0.10000000000000002
6,57045830,sett24_4,6,11,2500,2500,0.35,0.3,3,10,0.8,0.5,500,0.44,1.0,225.83333333333334,104.16666666666667,19.0,65.69225389817449,122.03062001900271,27.501515109777742,2,-0.04619253289734826,2,0.003062279616907237
7,15450237,sett24_4,7,8,1500,750,0.05,0.55,7,10,0.2,0.1,300,0.2,0.5,0.0,225.0,0.0,0.0,129.9038105676658,0.0,0,0.0,2,-0.16666666666666663
8,77439340,sett24_4,8,10,4000,2000,0.4,0.45,9,6,0.3,0.4,800,0.22,0.5,712.8,640.0,196.6,3.1874754901018454,320.0,98.31296964287061,2,-0.22204724409448895,2,-0.10000000000000002
9,34357282,sett24_4,9,13,500,250,0.55,0.25,8,1,0.8,0.8,100,0.28,0.5,115.0,219.57142857142858,51.857142857142854,9.54687682663064,196.3159677246695,47.72668786636966,3,0.24921630094043887,2,0.1691673463595318
10,19979614,sett24_4,10,4,3500,3500,0.9,0.6,1,3,0.1,0.25,700,0.04,1.0,3142.6666666666665,0.0,0.0,128.1986306045774,0.0,0.0,2,0.09770091629820982,0,0.0
11,32343666,sett24_4,11,4,2000,2000,0.7,0.85,1,2,0.7,0.9,400,0.08,1.0,1344.3333333333333,0.0,0.0,22.17105219775452,0.0,0.0,2,-0.49246534056660624,0,0.0
12,54327008,sett24_4,12,13,2500,2500,0.8,0.4,9,6,0.15,0.85,500,0.02,1.0,2020.2857142857142,1383.2857142857142,1095.5714285714287,93.50892132490321,990.9759567914731,775.3586925035511,5,0.3338860429106244,2,0.16578739682730867
13,90319849,sett24_4,13,5,1500,750,0.45,0.9,4,7,0.2,0.2,300,0.4,0.5,343.6666666666667,200.0,81.0,25.901522906749882,141.4213562373095,57.52101065407897,2,-0.07248537043171001,2,-0.3333333333333333
14,15812745,sett24_4,14,4,2500,2500,0.4,0.65,2,10,0.8,0.5,500,0.44,1.0,778.6666666666666,166.66666666666666,61.333333333333336,83.84244483288614,235.70226039551585,86.73843182554982,2,-0.4719227810619712,2,-0.3333333333333332
15,82974259,sett24_4,15,6,4000,4000,0.8,0.7,5,1,0.15,0.45,800,0.5,1.0,3075.3333333333335,533.3333333333334,395.3333333333333,533.4068699303458,377.12361663282536,297.8728289425241,2,0.13175402929244243,2,-0.3333333333333333
16,50108731,sett24_4,16,10,1500,1500,0.7,0.75,9,10,0.95,0.45,300,0.34,1.0,1035.0,240.0,173.2,17.7426040929735,120.0,86.74422170957557,3,0.21918678526048282,2,-0.09999999999999998
17,83368094,sett24_4,17,11,3500,1750,0.25,0.05,10,6,0.5,0.25,700,0.18,0.5,46.5,583.3333333333334,7.5,5.057996968497839,260.87459737497545,3.8622100754188224,2,-0.14006514657980457,2,-0.06666666666666665
18,77345994,sett24_4,18,5,1500,750,0.65,0.65,4,9,0.8,0.15,300,0.3,0.5,723.0,200.0,137.33333333333334,27.65260686927485,141.4213562373095,97.98412569844612,2,-0.44725370531822145,2,-0.3333333333333333
19,89863169,sett24_4,19,19,4000,2000,0.55,0.3,6,6,0.9,0.85,800,0.28,0.5,1143.1,73.9,25.5,99.7140411376452,103.66238469184472,37.04389288398291,2,0.3670329250348741,2,0.1929870862255243
20,34918787,sett24_4,20,11,1000,1000,0.3,0.25,10,8,0.7,0.1,200,0.28,1.0,38.833333333333336,166.66666666666666,2.1666666666666665,9.753916592266355,74.53559924999298,3.387066905483596,3,0.3011678832116788,2,-0.06666666666666662
21,38369885,sett24_4,21,7,3500,3500,0.25,0.95,6,9,0.8,0.45,700,0.08,1.0,170.0,525.0,32.25,66.36264009214823,303.10889132455355,21.26470079733077,2,-0.26748410535876477,2,-0.16666666666666663
22,10251600,sett24_4,22,14,1500,1500,0.15,0.25,10,7,0.1,0.5,300,0.5,1.0,65.0,232.57142857142858,37.142857142857146,0.0,219.947303521845,28.14974534991935,0,0.0,2,0.16598751492173203
23,44674882,sett24_4,23,7,4000,2000,0.65,0.4,6,1,0.3,0.05,800,0.32,0.5,1573.25,600.0,178.75,269.9234845284863,346.41016151377545,309.6040818529368,2,0.22133556482197125,2,-0.1666666666666666
24,62256960,sett24_4,24,9,3000,3000,0.05,0.9,8,0,0.1,0.6,600,0.04,1.0,5.0,480.0,0.0,0.0,240.0,0.0,0,0.0,2,-0.09999999999999998
25,16659721,sett24_4,25,11,2500,2500,0.75,0.45,10,7,0.5,0.25,500,0.02,1.0,1983.5,416.6666666666667,401.5,164.28811074856674,186.33899812498245,179.7245577729061,2,-0.06792183693695641,2,-0.0666666666666667
26,13088925,sett24_4,26,7,3500,3500,0.65,0.75,6,7,0.4,0.15,700,0.32,1.0,2390.0,525.0,297.0,262.2908690747735,303.10889132455355,297.04124292764465,3,0.2121038134207409,2,-0.16666666666666663
27,58771386,sett24_4,27,7,4000,4000,0.1,0.85,6,8,0.95,0.6,800,0.2,1.0,77.0,600.0,17.25,56.83308895353129,346.41016151377545,13.589977924926883,2,-0.2743034055727554,2,-0.1666666666666666
28,49384574,sett24_4,28,4,1000,1000,0.8,0.45,3,6,0.1,0.55,200,0.4,1.0,770.6666666666666,133.33333333333334,88.0,138.0853198408707,94.28090415820634,64.5445582524197,2,-0.4756343915590571,2,-0.3333333333333333
29,88629223,sett24_4,29,9,1000,1000,0.3,0.15,6,7,0.4,0.75,200,0.3,1.0,93.6,253.2,48.4,1.3564659966250536,210.55203632356537,36.11426311030034,4,0.10434782608695824,2,-0.23976129293045947
30,75915240,sett24_4,30,11,3000,3000,0.8,0.7,10,3,0.7,0.95,600,0.18,1.0,2327.0,500.0,385.6666666666667,20.534523775015252,223.60679774997897,172.55015373958827,2,0.301185770750988,2,-0.06666666666666668
31,58417128,sett24_4,31,4,500,250,0.7,0.75,3,5,0.5,0.2,100,0.42,0.5,219.0,66.66666666666667,48.0,30.23243291566195,47.14045207910317,36.08323710533743,2,0.11305616338439094,2,-0.3333333333333333
32,74576178,sett24_4,32,4,2500,2500,0.65,0.75,2,9,0.85,0.5,500,0.1,1.0,1557.6666666666667,166.66666666666666,102.33333333333333,24.796953217863056,235.70226039551585,144.72118788284672,2,0.11444404288639783,2,-0.3333333333333332
33,10729315,sett24_4,33,4,4000,4000,0.05,0.95,3,8,0.3,0.15,800,0.4,1.0,2.6666666666666665,533.3333333333334,0.0,3.7712361663282534,377.12361663282536,0.0,2,-0.3333333333333333,2,-0.3333333333333333
34,50777160,sett24_4,34,10,1500,750,0.55,0.85,9,1,0.65,0.45,300,0.04,0.5,340.0,240.0,69.4,19.44222209522358,120.0,34.79425239892359,4,-0.11746031746031751,2,-0.09999999999999998
