,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
0,65510305,sett24_7,0,4,3000,3000,0.25,0.6,1,7,0.75,0.45,600,0.38,1.0,300.0,0.0,0.0,123.33963947842018,0.0,0.0,2,-0.4863052719225207,0,0.0
1,71187608,sett24_7,1,11,2000,2000,0.35,0.55,10,2,0.1,0.15,400,0.22,1.0,718.0,333.3333333333333,23.0,20.704266871026046,149.07119849998597,23.137271518771037,5,-0.08437013996889575,2,-0.06666666666666662
2,88846138,sett24_7,2,8,1000,500,0.3,0.9,7,2,0.65,0.25,200,0.24,0.5,31.0,150.0,8.5,13.095800853708795,86.60254037844386,5.678908345800274,2,-0.17201166180758012,2,-0.1666666666666666
3,68193598,sett24_7,3,4,3000,1500,0.6,0.45,1,9,0.35,0.75,600,0.02,0.5,779.3333333333334,0.0,0.0,345.10900049436873,0.0,0.0,2,-0.37930208793963127,0,0.0
4,22753209,sett24_7,4,10,1500,1500,0.2,0.95,9,1,0.65,0.15,300,0.12,1.0,3.8,240.0,0.8,1.8330302779823362,120.0,0.7483314773547883,4,-0.10476190476190474,2,-0.09999999999999996
5,10208965,sett24_7,5,4,2000,1000,0.2,0.85,3,6,0.4,0.2,400,0.14,0.5,50.333333333333336,266.6666666666667,15.0,7.408703590297623,188.56180831641268,11.224972160321824,2,-0.2300944669365721,2,-0.3333333333333333
6,64319941,sett24_7,6,10,500,500,0.75,0.5,9,8,0.15,0.85,100,0.42,1.0,385.0,80.0,61.8,20.639767440550294,40.0,31.352192905760198,2,0.2793427230046948,2,-0.10000000000000003
7,61102778,sett24_7,7,4,500,250,0.65,0.7,3,4,0.45,0.15,100,0.38,0.5,171.33333333333334,66.66666666666667,28.0,48.55466564147626,47.14045207910317,39.59797974644666,2,0.0912589939359664,2,-0.3333333333333333
8,68026719,sett24_7,8,4,4000,2000,0.45,0.3,2,1,0.9,0.6,800,0.04,0.5,1513.6666666666667,266.6666666666667,115.0,116.4397793806834,377.12361663282536,162.63455967290594,2,-0.4850411940820385,2,-0.3333333333333335
9,9367779,sett24_7,9,12,1000,1000,0.05,0.2,10,0,0.85,0.9,200,0.44,1.0,0.0,140.0,0.0,0.0,96.19424792228138,0.0,0,0.0,2,-0.1665706051873199
10,87368293,sett24_7,10,5,2500,1250,0.6,0.85,4,0,0.95,0.75,500,0.32,0.5,1250.0,333.3333333333333,177.33333333333334,0.0,235.70226039551585,125.60873996484302,0,0.0,2,-0.3333333333333333
11,86747703,sett24_7,11,7,2000,2000,0.8,0.55,6,1,0.5,0.5,400,0.32,1.0,1548.25,300.0,231.5,11.321991874224253,173.20508075688772,133.76939111769926,2,0.3196001950268162,2,-0.1666666666666666
12,36796120,sett24_7,12,8,1500,750,0.85,0.2,3,0,0.6,0.65,300,0.32,0.5,740.0,47.75,30.75,17.320508075688775,65.62154752823191,43.9054381597542,2,-0.16666666666666666,2,-0.2275867574275388
13,33178334,sett24_7,13,13,2500,2500,0.2,0.2,9,8,0.5,0.55,500,0.44,1.0,15.571428571428571,475.42857142857144,8.428571428571429,0.7284313590846835,427.2299003523771,6.275966467568228,3,0.1208791208791209,2,0.1732593675055356
14,55138420,sett24_7,14,8,3500,1750,0.7,0.6,7,4,0.7,0.85,700,0.3,0.5,1330.0,525.0,200.25,26.94438717061496,303.10889132455355,115.77213611227876,2,0.4311294765840219,2,-0.16666666666666663
15,46735402,sett24_7,15,4,1500,750,0.75,0.8,1,4,0.3,0.35,300,0.08,0.5,591.6666666666666,0.0,0.0,149.0465997226669,0.0,0.0,2,-0.12383419861887766,0,0.0
16,21272137,sett24_7,16,4,500,250,0.9,0.8,3,5,0.4,0.1,100,0.24,0.5,250.0,66.66666666666667,33.333333333333336,0.0,47.14045207910317,47.14045207910317,0,0.0,2,-0.3333333333333333
17,43298737,sett24_7,17,9,4000,2000,0.2,0.4,7,3,0.15,0.95,800,0.06,0.5,69.0,880.8,15.0,0.0,538.4720605565344,9.033271832508971,0,0.0,2,-0.24358230681916632
18,82693888,sett24_7,18,11,3000,3000,0.75,0.65,10,9,0.1,0.4,600,0.5,1.0,2356.8333333333335,500.0,472.3333333333333,326.69068789231744,223.60679774997897,211.51805806807343,3,0.0814320832135007,2,-0.0666666666666667
19,75091420,sett24_7,19,7,2000,2000,0.2,0.05,6,9,0.5,0.1,400,0.42,1.0,35.75,300.0,2.5,3.2691742076555053,173.20508075688772,2.5,3,-0.016081871345029274,2,-0.1666666666666666
20,45645264,sett24_7,20,4,1000,1000,0.75,0.65,1,5,0.95,0.9,200,0.42,1.0,742.0,0.0,0.0,15.748015748023622,0.0,0.0,2,0.15053763440860213,0,0.0
21,333060,sett24_7,21,33,2000,1000,0.6,0.25,8,8,0.9,0.3,400,0.28,0.5,621.4117647058823,132.11764705882354,40.1764705882353,51.89929028589824,95.26303051393528,39.44949905611662,2,0.5965623654912924,2,0.5996304285571767
22,27128360,sett24_7,22,5,1500,750,0.35,0.05,3,9,0.35,0.9,300,0.36,0.5,110.33333333333333,375.3333333333333,24.333333333333332,11.32352516764202,292.29703309400105,18.00617178142601,2,-0.465049104563836,2,-0.4944646599162308
23,97608308,sett24_7,23,4,1500,750,0.9,0.9,1,4,0.85,0.65,300,0.24,0.5,750.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
24,80210489,sett24_7,24,14,2500,1250,0.2,0.4,9,9,0.8,0.5,500,0.46,0.5,1.1428571428571428,450.14285714285717,0.8571428571428571,1.2453996981544782,456.2115513573026,1.3552618543578767,6,-0.02443609022556389,2,0.11205597728701541
25,77616562,sett24_7,25,11,2500,1250,0.1,0.15,9,5,0.2,0.85,500,0.12,0.5,3.0,433.3333333333333,1.6666666666666667,0.0,266.2496739695448,0.7453559924999299,0,0.0,2,-0.1638453500522465
26,32517207,sett24_7,26,4,2000,2000,0.85,0.5,2,9,0.9,0.85,400,0.04,1.0,1681.6666666666667,133.33333333333334,112.33333333333333,18.06162291219209,188.56180831641268,158.8633235065777,2,0.05631244323342592,2,-0.3333333333333335
27,59771375,sett24_7,27,5,2000,2000,0.4,0.6,4,2,0.45,0.15,400,0.42,1.0,494.6666666666667,266.6666666666667,79.66666666666667,5.185449728701348,188.56180831641268,56.405279500730735,2,-0.3333333333333342,2,-0.3333333333333333
28,63630494,sett24_7,28,5,2500,2500,0.75,0.55,4,4,0.3,0.05,500,0.5,1.0,2046.0,333.3333333333333,158.33333333333334,212.50411760716543,235.70226039551585,223.91714737574003,2,0.04210401995954944,2,-0.3333333333333333
29,97075123,sett24_7,29,4,3000,1500,0.6,0.15,1,7,0.95,0.65,600,0.3,0.5,1500.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
30,8698843,sett24_7,30,9,3500,1750,0.1,0.1,7,1,0.4,0.75,700,0.36,0.5,0.2,646.4,0.0,0.4000000000000001,421.8509689451951,0.0,2,-0.10000000000000002,4,-0.2445273003374275
